Sp. Def,Sp. Atk,Legendary,Generation,Total,Name,Entry,Attack,HP,Speed,Defense,Type 2,Type 1,#
65,65,False,1,318,Bulbasaur,"Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sun’s rays,
the seed grows progressively larger.",49,45,45,49,Poison,Grass,1
80,80,False,1,405,Ivysaur,"There is a bud on this Pokémon’s back. To support its weight,
Ivysaur’s legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
it’s a sign that the bud will bloom into a large flower soon.",62,60,60,63,Poison,Grass,2
100,100,False,1,525,Venusaur,"There is a large flower on Venusaur’s back. The flower is said
to take on vivid colors if it gets plenty of nutrition and sunlight.
The flower’s aroma soothes the emotions of people.",82,80,80,83,Poison,Grass,3
50,60,False,1,309,Charmander,"The flame that burns at the tip of its tail is an indication
of its emotions. The flame wavers when Charmander
is enjoying itself. If the Pokémon becomes enraged,
the flame burns fiercely.",52,39,65,43,,Fire,4
65,80,False,1,405,Charmeleon,"Charmeleon mercilessly destroys its foes using its sharp
claws. If it encounters a strong foe, it turns aggressive.
In this excited state, the flame at the tip of its tail flares with
a bluish white color.",64,58,80,58,,Fire,5
85,109,False,1,534,Charizard,"Charizard flies around the sky in search of powerful opponents.
It breathes fire of such great heat that it melts anything.
However, it never turns its fiery breath on any opponent
weaker than itself.",84,78,100,78,Flying,Fire,6
64,50,False,1,314,Squirtle,"Squirtle’s shell is not merely used for protection.
The shell’s rounded shape and the grooves on its
surface help minimize resistance in water,
enabling this Pokémon to swim at high speeds.",48,44,43,65,,Water,7
80,65,False,1,405,Wartortle,"Its tail is large and covered with a rich, thick fur. The tail
becomes increasingly deeper in color as Wartortle ages.
The scratches on its shell are evidence of this Pokémon’s
toughness as a battler.",63,59,58,80,,Water,8
105,85,False,1,530,Blastoise,"Blastoise has water spouts that protrude from its shell.
The water spouts are very accurate.
They can shoot bullets of water with enough accuracy
to strike empty cans from a distance of over 160 feet.",83,79,78,100,,Water,9
20,20,False,1,195,Caterpie,"Perhaps because it would like to grow up
quickly, it has a voracious appetite, eating
a hundred leaves a day.",30,45,45,35,,Bug,10
25,25,False,1,205,Metapod,"Its shell is filled with a thick liquid. All of the
cells throughout its body are being rebuilt in
preparation for evolution.",20,50,30,55,,Bug,11
80,90,False,1,395,Butterfree,"Its wings are covered in toxic scales. If it finds
bird Pokémon going after Caterpie, Butterfree
sprinkles its scales on them to drive them off.",45,60,70,50,Flying,Bug,12
20,20,False,1,195,Weedle,"Weedle has an extremely acute sense of smell. It is capable
of distinguishing its favorite kinds of leaves from those it
dislikes just by sniffing with its big red proboscis (nose).",35,40,50,30,Poison,Bug,13
25,25,False,1,205,Kakuna,"Kakuna remains virtually immobile as it clings to a tree.
However, on the inside, it is extremely busy as it prepares
for its coming evolution.
This is evident from how hot the shell becomes to the touch.",25,45,35,50,Poison,Bug,14
80,45,False,1,395,Beedrill,"Beedrill is extremely territorial. No one should ever approach
its nest—this is for their own safety. If angered, they will attack
in a furious swarm.",90,65,75,40,Poison,Bug,15
35,35,False,1,251,Pidgey,"Pidgey has an extremely sharp sense of direction.
It is capable of unerringly returning home to its nest,
however far it may be removed from its familiar surroundings.",45,40,56,40,Flying,Normal,16
50,50,False,1,349,Pidgeotto,"Pidgeotto claims a large area as its own territory. This
Pokémon flies around, patrolling its living space. If its territory
is violated, it shows no mercy in thoroughly punishing the foe
with its sharp claws.",60,63,71,55,Flying,Normal,17
70,70,False,1,479,Pidgeot,"This Pokémon has a dazzling plumage of beautifully
glossy feathers. Many Trainers are captivated by the
striking beauty of the feathers on its head, compelling
them to choose Pidgeot as their Pokémon.",80,83,101,75,Flying,Normal,18
35,25,False,1,253,Rattata,"Its incisors grow continuously throughout its life.
If its incisors get too long, this Pokémon
becomes unable to eat, and it starves to death.",56,30,72,35,,Normal,19
70,50,False,1,413,Raticate,"People say that it fled from its enemies by
using its small webbed hind feet to swim
from island to island in Alola.",81,55,97,60,,Normal,20
31,31,False,1,262,Spearow,"Its reckless nature leads it to stand up to
others—even large Pokémon—if it has to protect
its territory.",60,40,70,30,Flying,Normal,21
61,61,False,1,442,Fearow,"Carrying food through Fearow’s territory is
dangerous. It will snatch the food away from
you in a flash!",90,65,100,65,Flying,Normal,22
54,40,False,1,288,Ekans,"By dislocating its jaw, it can swallow prey larger
than itself. After a meal, it curls up and rests.",60,35,55,44,,Poison,23
79,65,False,1,438,Arbok,"The latest research has determined that there
are over 20 possible arrangements of the
patterns on its stomach.",85,60,80,69,,Poison,24
50,50,False,1,320,Pikachu,"Its nature is to store up electricity. Forests
where nests of Pikachu live are dangerous,
since the trees are so often struck by lightning.",55,35,90,40,,Electric,25
80,90,False,1,485,Raichu,"As electricity builds up inside its body, it
becomes more aggressive. One theory is that
the electricity buildup is actually causing stress.",90,60,110,55,,Electric,26
